SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	1	8.9	1.5	2.5	4.9	7.6	7.2	6.7	5	4.8	5.1	6.7	6.7	4.7	3.2	2	0.9	0.9	0.8	1.5	2.4	1.8	2.4	2.2	2.3	2.1	2	2.3	1.1	0.6	0.5	0.5	0.4	0.5	1.1	1.3	2	1.7	1.5
	2	9.4	1.6	1.9	3.2	4.6	5.4	6.4	6.4	7.4	8.1	9.4	7.9	5.8	3.6	2.2	1.5	1.4	1.6	1.9	2	1.4	1.9	1.7	1.6	1.4	1.6	1.3	0.9	0.6	0.6	0.4	0.3	0.4	0.6	0.8	0.7	1.4	1.6
	3	7.7	1.5	2.8	3.1	3.7	4.6	5.5	5.8	5.5	7.2	7.7	9.1	5.4	3.7	2.7	1.6	0.9	1	1.6	1.2	1.4	1.3	2	2.4	1.7	2.5	2.9	1.9	1.3	0.6	0.6	0.6	0.7	1.1	1.3	1.2	1.7	1.5
	4	9.7	2.2	3.8	5.7	5.8	6.6	6.1	6.5	6.1	6.3	6.6	5.4	3.4	2.3	1.8	1.4	0.9	0.8	1	1.3	1.1	1.7	1.7	1.3	1.3	2	3	2.5	1	0.8	0.6	1	1	1	1.8	2.2	2.1	2.2
	5	9.2	1.6	2.8	4.1	4.4	5.4	5.2	5.9	6.7	7.8	8.7	5.8	2.8	2	1.3	1.2	1.2	1.5	1.6	1.9	1.1	1.5	1.4	1.5	1.4	2.5	3	3.4	2.4	1.5	0.9	0.7	1	1.1	1.4	1.7	1.6	1.6
	6	8.6	1.3	1.5	2.4	2.8	3.3	4.3	6.9	7.6	6.5	5.1	3.1	1.9	1.5	0.9	0.8	0.6	0.8	0.8	1.3	1.7	1.7	1.9	2.4	3.3	4.7	5.9	7.5	6.3	3.3	2	1.3	0.8	0.7	1.2	1	1.1	1.3
	7	8.7	1.7	1.9	2.3	2.9	3.3	4.1	5.2	6.7	4.9	3.5	2.9	1.3	1.4	0.9	0.7	1	1.1	1.4	1.6	2.6	2.7	3.3	4	4.5	5.6	4.9	5.3	5.6	3.7	2.1	1.5	0.7	1	1.2	1.3	1.4	1.7
	8	6.2	2.2	3.2	4.1	4.9	3.5	3.5	4.2	3.9	3.9	3.9	3.1	1.6	1.2	1.2	1.1	1	1.1	1.1	2	2.6	2.8	3.8	4.8	4.6	4.5	5.5	5.3	4.4	2.8	1.2	0.8	0.9	0.8	1.1	1.3	2.1	2.2
	9	4.5	4.6	6.5	6.5	6.3	4.9	4.1	3.6	3.3	3.4	3.6	3.9	1.6	1.3	1.2	1	0.9	1.2	1.5	2	1.9	2.4	2.4	2.6	3.2	2.9	2.6	2.2	2	1.5	1.5	1.2	1.4	1.6	1.9	3.2	3.9	4.6
	10	2.4	5.3	6.4	6.7	5.7	5.4	4.6	2.8	2.2	2.5	3.1	3.5	2.4	1.8	1.6	1.5	1.6	1.4	1.7	1.9	1.9	2.1	2.4	2.5	2.2	1.7	1.9	1.5	1.3	1.2	1.7	1.7	1.9	2.2	2.9	3.9	5	5.3
	11	1.6	4.2	5.3	6.4	5.8	5.8	4.8	3	2.8	3.4	5.7	7.8	5.3	3.3	2.5	1.9	1.7	1.3	1.4	1.6	1.5	1.6	1.6	1.3	1.5	1.8	1.5	0.8	0.8	0.9	0.8	0.8	1.1	1.1	2.2	2.7	4.3	4.2
	12	4.7	3.1	3.9	4.2	6.6	6.2	7.8	6.5	5	5.8	6.8	6.1	3.7	3.2	2.4	1.3	0.8	1	1.4	2.1	1.8	2.1	1.7	1.3	1.1	1.3	0.9	0.7	0.3	0.3	0.3	0.4	0.6	0.9	1.8	3	3.6	3.1
FREQUENCY OF SPEED                                                              																																							
	Month	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25												
	ALL	7	4.7	11.8	13	11.9	10.6	10.1	8	5.8	5.2	3.7	2.8	1.9	1.2	0.7	0.6	0.2	0.2	0.2	0.1	0.1	0	0	0	0	0												
	1	8.9	4.6	10.9	12.4	12.5	11	9	7.3	5.3	4.9	3.7	3	2.1	1.5	0.9	0.5	0.3	0.3	0.2	0.2	0.2	0.1	0	0.1	0	0												
	2	9.4	6.2	11.6	11.6	11.9	9.9	9.4	7.5	4.4	4.4	3.4	2.3	2.2	1.6	1	1.3	0.5	0.4	0.4	0.2	0.1	0.1	0.1	0.1	0	0												
	3	7.7	5.6	13.1	14.8	11.9	9.5	9.2	7.6	5.3	4.6	2.9	2.2	1.9	1.2	0.9	0.4	0.3	0.2	0.3	0.2	0.1	0.1	0	0	0	0
	4	9.7	5.8	13.6	15.2	13.3	10.3	8.8	6.5	4.1	4.8	2.5	1.7	0.9	0.9	0.5	0.4	0.2	0.2	0.2	0.1	0.1	0	0.1	0.1	0.1	0
	5	9.2	6.5	15.3	15.2	13.1	11.1	9.7	6.2	4.5	3.3	2.2	1.3	0.8	0.6	0.4	0.2	0.1	0.1	0.1	0	0	0	0	0	0	0
	6	8.6	6.1	16.8	16.8	13.3	11.4	10	6.3	4.2	3	2	0.9	0.3	0	0	0.1	0	0	0	0	0	0	0	0	0	0
	7	8.7	5.9	17	17.6	13.7	11	8.4	6.7	4.1	2.9	1.7	0.9	0.7	0.3	0.2	0.2	0.1	0.1	0	0	0	0	0	0	0	0
	8	6.2	4	10.2	13.3	12.1	11.8	12	8.9	6.5	4.9	3.7	2.9	1.5	0.7	0.4	0.3	0.1	0.1	0.1	0	0	0	0	0	0	0
	9	4.5	3.2	10	10.7	11.7	11.4	11.9	9.1	6.9	6.8	4.5	3.4	2.4	1.3	0.9	0.5	0.2	0.3	0.1	0.1	0	0	0	0	0	0
